topic_key,topic_name,parent_topic,enabled,description,governance_state
12 吋矽晶圓,12 吋矽晶圓,晶圓材料,TRUE,12 吋矽晶圓、12 吋磊晶片、再生晶圓及先進製程用晶圓材料。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
8 吋矽晶圓,8 吋矽晶圓,晶圓材料,TRUE,8 吋矽晶圓、8 吋磊晶片、再生晶圓及其製造服務。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
ABF載板,ABF載板,封裝測試,TRUE,ABF載板為高階封裝中承載與連接晶片的有機載板，涵蓋 ABF 載板設計、製造及材料供應；不含一般 PCB、封裝測試服務或非 ABF 基板。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
ADAS,ADAS,車用電子,TRUE,駕駛輔助、雷達／鏡頭感知、影像處理、車用域控制與自動駕駛系統。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
AI PCB,AI PCB,AI運算與伺服器,TRUE,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
AI伺服器整機／ODM,AI伺服器整機／ODM,AI運算與伺服器,TRUE,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
AI影像辨識,AI影像辨識,AI視覺,TRUE,AI 影像分析、辨識、醫療影像、影像理解與視覺 AI 軟體／平台。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
AI視覺,AI視覺,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
AI運算與伺服器,AI運算與伺服器,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
AI電力基建,AI電力基建,電力與能源,TRUE,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
ASIC,ASIC,IC設計,TRUE,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
BBU,BBU,AI運算與伺服器,TRUE,AI 伺服器／資料中心電池備援模組、BBU、超級電容備援與 BBU 電源管理。一般 UPS 或儲能櫃改歸其他題材。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
銅箔基板CCL,銅箔基板CCL,PCB供應鏈,TRUE,| 銅箔基板、覆銅板、低損耗／高頻高速 CCL、BT／ABF 上游樹脂與載板上游基材。完成的 ABF 載板不歸 CCL。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
Chiplet,Chiplet,封裝測試,TRUE,| 小晶片異質整合、Die-to-Die、UCIe、2.5D／3D Chiplet 封裝、Chiplet 測試或互連。僅做一般 ABF 載板，不自動掛 Chiplet。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
CoWoS,CoWoS,封裝測試,TRUE,明確參與台積電 CoWoS／2.5D 封裝的中介層、封裝、測試、設備、材料或服務。僅因 AI 或載板需求受惠，不足以掛 CoWoS。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
DRAM／DDR,DRAM／DDR,記憶體,TRUE,DRAM、DDR、LPDDR、HBM 記憶體晶片或相關製造／封裝供應鏈；HBM 需求若只是設備或材料受惠，依實際供應鏈分類。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
FOPLP,FOPLP,封裝測試,TRUE,扇出型面板級封裝、面板級封裝設備、材料、載板與封裝服務；不能把一般面板製造直接視為 FOPLP。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
GaN 晶圓／GaN-on-Si,GaN 晶圓／GaN-on-Si,晶圓材料,TRUE,GaN wafer、GaN-on-Si、GaN epi 及 GaN 射頻／功率元件用晶圓。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
IC設計,IC設計,,TRUE,,RESEARCH_BOOTSTRAP_PARENT_PENDING_OWNER_REVIEW
IGBT／功率模組,IGBT／功率模組,功率半導體,TRUE,IGBT、IGBT 模組、功率模組、逆變器模組與模組封裝。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
MCU,MCU,IC設計,TRUE,微控制器、車用 MCU、工控 MCU、嵌入式控制器及其韌體／開發生態。一般 CPU、PMIC、功率元件不收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
MLCC,MLCC,被動元件,TRUE,積層陶瓷電容，包含車用、高壓、高容、AI 伺服器與消費電子 MLCC。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
NAND Flash／SSD,NAND Flash／SSD,記憶體,TRUE,| NAND Flash、SSD 控制器、SSD 模組、企業級 SSD、儲存解決方案。單純記憶體通路不收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
NOR Flash／利基型記憶體,NOR Flash／利基型記憶體,記憶體,TRUE,NOR、SLC、利基型記憶體、特殊嵌入式記憶體與非主流容量／規格產品。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
PCB,PCB,PCB供應鏈,FALSE,一般 PCB、高層數板、HDI、軟板、載板製造；若明確為 AI 伺服器板，優先 AI PCB；若明確為 ABF 載板，優先 ABF載板候選。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
RISC-V,RISC-V,IC設計,TRUE,以 RISC-V ISA、CPU core、SoC、開發板或相關 IP／軟體生態為核心。僅使用 RISC-V 元件但非公司主力不收錄。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
Retimer／Redriver,Retimer／Redriver,高速互連,TRUE,Retimer、Redriver、訊號重整與高速訊號完整性晶片。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
SiC 晶圓／基板,SiC 晶圓／基板,晶圓材料,TRUE,SiC wafer、SiC substrate、SiC epi、SiC 磊晶與功率元件用 SiC 基板。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
SiC／GaN 功率元件,SiC／GaN 功率元件,功率半導體,TRUE,已量產或商業化的 SiC／GaN MOSFET、二極體、HEMT、功率模組；材料與晶圓改歸晶圓材料。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
一般封測,一般封測,封裝測試,TRUE,晶圓測試、成品測試、封裝代工、測試服務、封裝材料／介面服務，但不以先進封裝特殊技術為主要識別。,RESEARCH_BOOTSTRAP_PENDING_OWNER_REVIEW
