input_key,required_for,source_authority,observed_state,coverage_start,coverage_end,observed_count,coverage_unit,pit_safe,reconstruction_impact,blocker
topic_snapshot,topic/date identity and persisted daily state,topicpilot.topic_snapshots,AVAILABLE_BOUNDED,2026-08-07,2026-08-13,460,snapshot rows,YES_FOR_FORMAL_ROWS_ONLY,FULL for 92 topics on 5 dates; absent elsewhere,No pre-2026-08-07 PIT snapshots; 38 of 130 topics not materialized on formal dates
formal_pit_status,publication/finality and formal-vs-research separation,migration 0030 + runtime formal readback,AVAILABLE_BOUNDED,2026-08-07,2026-08-13,460,formal rows,YES_FOR_FORMAL_ROWS_ONLY,All observed rows FORMAL/PIT_FORMAL/FINAL/PUBLISHED,No status envelope for dates without formal rows
member_facts,member-level close/change and fact lineage,topicpilot.topic_snapshot_member_facts,AVAILABLE_BOUNDED_RECONCILIATION_GAP,2026-08-07,2026-08-13,4235 closure artifact rows; 4236 runtime aggregate observedCount,member facts / snapshot aggregate cross-check,YES_FOR_FORMAL_ROWS_ONLY_WITH_RECONCILIATION,"Bounded member evidence exists, but one-row aggregate mismatch must fail closed until reconciled",No member facts before 2026-08-07 or after 2026-08-13; closure-vs-runtime count differs by 1
effective_dated_instrument_topic_relation,PIT-safe membership resolution,topicpilot.instrument_topic_relations,BOUNDARY_ONLY,2026-08-07,,848,relation rows,YES_FROM_BOUNDARY_ONLY,Supports formal boundary from 2026-08-07; cannot backdate to 2026-01-01,Only v1/open-ended current mapping; no pre-boundary or correction history
live_tracking_universe,current TopicLifecycleEngine runtime adapter,topicpilot.live_tracking_universe,CURRENT_ONLY,,,,current rows,NO,Cannot prove historical membership/eligibility; fail closed for engine replay that requires it,No effective_from/effective_to history or PIT artifact in the current model
canonical_daily_bar_close_previous_close,daily member return/change inputs,accepted canonical PRICE DAILY_BAR observations,AVAILABLE_BOUNDED,2026-02-02,2026-08-13,63826,canonical OHLCV rows / 507 symbols,PRICE_FACTS_YES; TOPIC_SELECTION_NO,Price facts can be reused for bounded research; not sufficient for Topic State,No pre-2026-02-02 bars in the reconciled authority; no observation-level previous-close field in the lifecycle input contract
price_source_correction_lineage,deterministic source selection and correction handling,canonical observation/timeline lineage,PARTIAL,2026-02-02,2026-08-13,63826,canonical rows,PARTIAL,Source/artifact lineage is present for formal member facts; adjustment/corporate-action continuity remains unknown,adjustment_state/corporate-action families are not fully authoritative; historical read model intentionally exposes UNKNOWN
reference_session_calendar,trading-day eligibility and session binding,tw-reference-v1,AVAILABLE_CURRENT_REFERENCE,,,,reference bundle,VERSIONED,Session REGULAR/TW_MARKET is available for formal rows,No separate forward-shadow artifact extends the reference/as-of boundary
instrument_identity_and_lifecycle,survivorship-safe identity and delisting exclusions,instruments + security_identities + reference_instrument_lifecycles,PARTIAL,2026-06-23,,1,known lifecycle events,INSTRUMENT_ID_YES; SYMBOL_HISTORY_NO,Known 6806 delisting exclusion can be respected; identity continuity is incomplete,security_identities is empty; corporate-action/identity history not complete
previous_stage_and_persistence_state,"hysteresis, confirmation, Day-N and transitions",topicpilot.topic_lifecycle_results,NOT_AVAILABLE,,,0,lifecycle result rows,NO_PRIOR_STATE; BOUNDED_BOOTSTRAP_POSSIBLE,First eligible date must use deterministic unseen-prior bootstrap; no pre-boundary stage can be claimed,No persisted lifecycle results and no history before 2026-08-07
