instrument_code,instrument_name,market_code,topic_role,topic_name,topic_parent,topic_enabled,topic_level,topic_role_in_hierarchy,topic_weight_in_hierarchy,stock_topic_weight,topic_description,group_status,mapping_status,research_version
3532,台勝科,TPE,PRIMARY,12 吋矽晶圓,晶圓材料,Y,X,核心,1,1.4,12 吋矽晶圓、12 吋磊晶片、再生晶圓及先進製程用晶圓材料。,啟用,MATCHED,topic-universe-mapping.v1
5483,中美晶,TWO,PRIMARY,12 吋矽晶圓,晶圓材料,Y,X,核心,1,1.4,12 吋矽晶圓、12 吋磊晶片、再生晶圓及先進製程用晶圓材料。,啟用,MATCHED,topic-universe-mapping.v1
6182,合晶,TWO,PRIMARY,12 吋矽晶圓,晶圓材料,Y,X,核心,1,1.4,12 吋矽晶圓、12 吋磊晶片、再生晶圓及先進製程用晶圓材料。,啟用,MATCHED,topic-universe-mapping.v1
6488,環球晶,TWO,PRIMARY,12 吋矽晶圓,晶圓材料,Y,X,核心,1,1.5,12 吋矽晶圓、12 吋磊晶片、再生晶圓及先進製程用晶圓材料。,啟用,MATCHED,topic-universe-mapping.v1
3532,台勝科,TPE,PRIMARY,8 吋矽晶圓,晶圓材料,Y,X,核心,1,1.4,8 吋矽晶圓、8 吋磊晶片、再生晶圓及其製造服務。,啟用,MATCHED,topic-universe-mapping.v1
5483,中美晶,TWO,PRIMARY,8 吋矽晶圓,晶圓材料,Y,X,核心,1,1.4,8 吋矽晶圓、8 吋磊晶片、再生晶圓及其製造服務。,啟用,MATCHED,topic-universe-mapping.v1
6182,合晶,TWO,PRIMARY,8 吋矽晶圓,晶圓材料,Y,X,核心,1,1.4,8 吋矽晶圓、8 吋磊晶片、再生晶圓及其製造服務。,啟用,MATCHED,topic-universe-mapping.v1
6488,環球晶,TWO,PRIMARY,8 吋矽晶圓,晶圓材料,Y,X,核心,1,1.5,8 吋矽晶圓、8 吋磊晶片、再生晶圓及其製造服務。,啟用,MATCHED,topic-universe-mapping.v1
3037,欣興,TPE,PRIMARY,ABF載板,封裝測試,Y,X,細分題材,0.9,1.5,ABF載板為高階封裝中承載與連接晶片的有機載板，涵蓋 ABF 載板設計、製造及材料供應；不含一般 PCB、封裝測試服務或非 ABF 基板。,啟用,MATCHED,topic-universe-mapping.v1
3189,景碩,TPE,PRIMARY,ABF載板,封裝測試,Y,X,細分題材,0.9,1.4,ABF載板為高階封裝中承載與連接晶片的有機載板，涵蓋 ABF 載板設計、製造及材料供應；不含一般 PCB、封裝測試服務或非 ABF 基板。,啟用,MATCHED,topic-universe-mapping.v1
4958,臻鼎-KY,TPE,PRIMARY,ABF載板,封裝測試,Y,X,細分題材,0.9,1.4,ABF載板為高階封裝中承載與連接晶片的有機載板，涵蓋 ABF 載板設計、製造及材料供應；不含一般 PCB、封裝測試服務或非 ABF 基板。,啟用,MATCHED,topic-universe-mapping.v1
8046,南電,TPE,PRIMARY,ABF載板,封裝測試,Y,X,細分題材,0.9,1.4,ABF載板為高階封裝中承載與連接晶片的有機載板，涵蓋 ABF 載板設計、製造及材料供應；不含一般 PCB、封裝測試服務或非 ABF 基板。,啟用,MATCHED,topic-universe-mapping.v1
2367,燿華,TPE,PRIMARY,ADAS,車用電子,Y,A,主流,0.9,1.3,駕駛輔助、雷達／鏡頭感知、影像處理、車用域控制與自動駕駛系統。,啟用,MATCHED,topic-universe-mapping.v1
3715,定穎投控,TPE,PRIMARY,ADAS,車用電子,Y,A,主流,0.9,1.4,駕駛輔助、雷達／鏡頭感知、影像處理、車用域控制與自動駕駛系統。,啟用,MATCHED,topic-universe-mapping.v1
2388,威盛,TPE,SECONDARY,ADAS,車用電子,Y,A,主流,0.9,0.7,駕駛輔助、雷達／鏡頭感知、影像處理、車用域控制與自動駕駛系統。,啟用,MATCHED,topic-universe-mapping.v1
2401,凌陽,TPE,SECONDARY,ADAS,車用電子,Y,A,主流,0.9,0.6,駕駛輔助、雷達／鏡頭感知、影像處理、車用域控制與自動駕駛系統。,啟用,MATCHED,topic-universe-mapping.v1
3362,先進光,TWO,SECONDARY,ADAS,車用電子,Y,A,主流,0.9,0.7,駕駛輔助、雷達／鏡頭感知、影像處理、車用域控制與自動駕駛系統。,啟用,MATCHED,topic-universe-mapping.v1
6285,啟碁,TPE,SECONDARY,ADAS,車用電子,Y,A,主流,0.9,0.8,駕駛輔助、雷達／鏡頭感知、影像處理、車用域控制與自動駕駛系統。,啟用,MATCHED,topic-universe-mapping.v1
2313,華通,TPE,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
2368,金像電,TPE,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
3037,欣興,TPE,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
3044,健鼎,TPE,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
3189,景碩,TPE,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
4958,臻鼎-KY,TPE,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
5439,高技,TWO,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.3,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
8046,南電,TPE,PRIMARY,AI PCB,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
3715,定穎投控,TPE,SECONDARY,AI PCB,AI運算與伺服器,Y,D,核心,1,0.8,AI 伺服器主板、HDI、高層數伺服器板、AI 高速板與伺服器用高頻高速 PCB；ABF 載板有獨立題材時不再以 AI PCB 作為唯一分類。,啟用,MATCHED,topic-universe-mapping.v1
2301,光寶科,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2317,鴻海,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2324,仁寶,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.3,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2356,英業達,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2376,技嘉,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2382,廣達,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2465,麗臺,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.2,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
3231,緯創,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
3693,營邦,TWO,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
3706,神達,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
4938,和碩,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.4,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
6669,緯穎,TPE,PRIMARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,1.5,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2353,宏碁,TPE,SECONDARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,0.6,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2357,華碩,TPE,SECONDARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,0.8,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
2377,微星,TPE,SECONDARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,0.6,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
8210,藍天,TPE,SECONDARY,AI伺服器整機／ODM,AI運算與伺服器,Y,D,核心,1,0.6,AI 伺服器整機、伺服器 ODM、機櫃整合、主板／機箱組裝與資料中心硬體整合。,啟用,MATCHED,topic-universe-mapping.v1
6419,京晨科,TWO,PRIMARY,AI影像辨識,AI視覺,Y,D,主流,0.9,1.2,AI 影像分析、辨識、醫療影像、影像理解與視覺 AI 軟體／平台。,啟用,MATCHED,topic-universe-mapping.v1
6695,芯鼎,TPE,PRIMARY,AI影像辨識,AI視覺,Y,D,主流,0.9,1.3,AI 影像分析、辨識、醫療影像、影像理解與視覺 AI 軟體／平台。,啟用,MATCHED,topic-universe-mapping.v1
6870,騰雲,TWO,PRIMARY,AI影像辨識,AI視覺,Y,D,主流,0.9,1.3,AI 影像分析、辨識、醫療影像、影像理解與視覺 AI 軟體／平台。,啟用,MATCHED,topic-universe-mapping.v1
3022,威強電,TPE,SECONDARY,AI影像辨識,AI視覺,Y,D,主流,0.9,0.6,AI 影像分析、辨識、醫療影像、影像理解與視覺 AI 軟體／平台。,啟用,MATCHED,topic-universe-mapping.v1
6789,采鈺,TPE,SECONDARY,AI影像辨識,AI視覺,Y,D,主流,0.9,0.8,AI 影像分析、辨識、醫療影像、影像理解與視覺 AI 軟體／平台。,啟用,MATCHED,topic-universe-mapping.v1
1609,大亞,TPE,PRIMARY,AI電力基建,電力與能源,Y,B,主流,1,1.4,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
2301,光寶科,TPE,PRIMARY,AI電力基建,電力與能源,Y,B,主流,1,1.4,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
2308,台達電,TPE,PRIMARY,AI電力基建,電力與能源,Y,B,主流,1,1.5,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
3015,全漢,TPE,PRIMARY,AI電力基建,電力與能源,Y,B,主流,1,1.2,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
6282,康舒,TPE,PRIMARY,AI電力基建,電力與能源,Y,B,主流,1,1.3,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
6409,旭隼,TPE,PRIMARY,AI電力基建,電力與能源,Y,B,主流,1,1.4,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
1503,士電,TPE,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.9,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
1504,東元,TPE,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.8,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
1513,中興電,TPE,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.9,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
1514,亞力,TPE,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.8,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
1519,華城,TPE,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.9,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
5483,中美晶,TWO,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.9,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
6179,亞通,TWO,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.6,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
7788,松川精密,TPE,SECONDARY,AI電力基建,電力與能源,Y,B,主流,1,0.8,AI 資料中心供電、UPS、HVDC、變壓、配電、電源與電力管理；一般重電不因 AI 新聞自動掛入。,啟用,MATCHED,topic-universe-mapping.v1
3035,智原,TPE,PRIMARY,ASIC,IC設計,Y,B,核心,1,1.4,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,啟用,MATCHED,topic-universe-mapping.v1
3443,創意,TPE,PRIMARY,ASIC,IC設計,Y,B,核心,1,1.5,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,啟用,MATCHED,topic-universe-mapping.v1
3661,世芯-KY,TPE,PRIMARY,ASIC,IC設計,Y,B,核心,1,1.5,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,啟用,MATCHED,topic-universe-mapping.v1
8054,安國,TWO,PRIMARY,ASIC,IC設計,Y,B,核心,1,1.4,| 客製化 ASIC、AI／HPC 加速器、CSP 客製晶片、ASIC 設計服務、NRE／Turnkey 設計。僅代理晶片、一般 IC 或單純封裝不收錄。,啟用,MATCHED,topic-universe-mapping.v1
