gap_id,category,affected_window,severity,state,evidence,fail_closed,implication
PIT-001,topic_membership,2026-01-01..2026-08-06,BLOCKER,MISSING,relation v1 has valid_from=2026-08-07 and no pre-boundary effective history,YES,No safe historical membership reconstruction before 2026-08-07
PIT-002,topic_snapshot,2026-01-01..2026-08-06 and 2026-08-07..2026-08-13 for 38 topics,BLOCKER,MISSING,runtime formal snapshot set is 460 rows = 92 topics x 5 dates,YES,No lifecycle input row/member-fact anchor for missing topic-date cells
PIT-003,live_tracking_universe,all historical dates,BLOCKER_FOR_CURRENT_ENGINE_REPLAY,CURRENT_ONLY,LiveTrackingUniverse model is a current projection without effective-dated history,YES,Do not use current tracking state as historical membership or eligibility
PIT-004,price_window,2026-01-01..2026-02-01,BLOCKER,MISSING,canonical OHLCV authority starts 2026-02-02,YES,No daily close/previous-close input for early window
PIT-005,price_corporate_action_lineage,2026-02-02..2026-08-13,BLOCKER_FOR_STRICT_RECONSTRUCTION,PARTIAL,historical read model exposes adjustment_state=UNKNOWN and continuity coverage PARTIAL_UNKNOWN,YES,Price discontinuity or adjustment cannot be silently normalized
PIT-006,identity_history,all historical dates,BLOCKER_FOR_SYMBOL_CONTINUITY,MISSING,security_identities=0 in prior canonical runtime evidence,YES,Instrument-id joins remain bounded; historical symbol/alias continuity cannot be claimed
PIT-007,previous_stage,first eligible date 2026-08-07,BOUNDARY_CONDITION,BOOTSTRAP_REQUIRED,no prior lifecycle result rows; engine state is policy-dependent and not persisted before boundary,NO_IF_EXPLICIT,Bootstrap must be labelled unseen-prior/truncated-history and never infer pre-boundary stage
PIT-008,forward_boundary,after 2026-08-13,BLOCKER,NOT_OBSERVED,latest canonical formal TopicSnapshot date is 2026-08-13; no FORWARD_SHADOW artifact found in canonical checkout,YES,Do not extend reconstruction boundary to 2026-08-22 by calendar assumption
PIT-009,migration_0032,all historical dates,OWNER_DECISION_REQUIRED,NOT_PRESENT_CANONICAL,canonical versions directory ends at 0031; no 0032 file or committed forward-shadow artifact,YES,Any 0032 semantics or schema claim must wait for canonical evidence
PIT-010,member_fact_reconciliation,2026-08-07..2026-08-13,BLOCKER_FOR_STRICT_REPLAY,COUNT_MISMATCH,committed materialization report says 4235 member facts; current formal snapshot aggregate observedCount sums to 4236,YES,Do not claim exact member-fact coverage until the one-row discrepancy is explained from read-only lineage
