event_semantics,observation_window,cohort,transition_event_count,transition_events_with_required_window_date,current_unique_join_event_link_count,current_unique_join_signal_observation_count,current_unique_join_instrument_count,current_unique_join_event_count,exposure_any_lifecycle_row_link_count,exposure_any_lifecycle_row_signal_observation_count,exposure_research_eligible_link_count,exposure_research_eligible_signal_observation_count,exposure_research_eligible_instrument_count,exposure_research_eligible_event_count,current_taxonomy_non_pit_proxy_link_count,current_taxonomy_non_pit_proxy_signal_observation_count,current_taxonomy_non_pit_proxy_recovered_from_current_ambiguous_count,current_taxonomy_non_pit_proxy_dedup_collapsed_links,recovered_signal_observation_count,recovered_from_current_ambiguous_signal_observation_count,event_level_dedup_collapsed_exposure_links,current_duplicate_link_count,exposure_duplicate_link_count,exposure_any_duplicate_link_count,current_taxonomy_non_pit_proxy_duplicate_link_count,current_taxonomy_non_pit_proxy_status,deduplication_key,research_eligibility_definition,final_expectancy_rerun
CANDIDATE_ONSET,D-3,A2,80,65,4,4,4,4,0,0,0,0,0,0,8,8,4,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-3,LEGACY5,80,65,4,4,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-3,BOTH_SAME_SESSION,80,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-2,A2,80,65,6,6,6,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-2,LEGACY5,80,65,4,4,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-2,BOTH_SAME_SESSION,80,65,2,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-1,A2,80,67,6,6,6,6,0,0,0,0,0,0,7,7,2,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-1,LEGACY5,80,67,2,2,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D-1,BOTH_SAME_SESSION,80,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
CANDIDATE_ONSET,D0,A2,80,80,30,30,30,19,0,0,0,0,0,0,30,27,6,3,0,0,0,0,0,0,0,UPPER_BOUND_DIAGNOSTIC_ONLY_NOT_SIGNAL_DATE_VALID_ELIGIBILITY,cohort|signal_id; one return observation per signal observation even when multiple topics/events match,same-date exposure has a five-stage L5 lifecycle row; D0 remains contemporaneous and non-predictive,NO
