evidence_key,dimension,source_field,current_shape,role_in_strength,quality_or_strength,status,historical_reconstructability,frontend_safe_now,leader_proxy_risk,notes
positive_breadth,Participation,diffusion.positiveBreadth,float 0..1 over valid observed members,primary participation evidence,Strength evidence,CURRENT_SHADOW_EVIDENCE,REQUIRES_PIT_MEMBER_AND_DAILY_OBSERVATION,backend raw value only with status,LOW,Positive means change_pct > 0; denominator is valid observed members in current engine.
strong_breadth,Participation/Intensity,groupStrength.strongBreadth,float 0..1; strong_member_change_pct classifier,secondary conviction/participation evidence,Strength evidence plus classifier lineage,CURRENT_SHADOW_EVIDENCE,REQUIRES_CLASSIFIER_AND_PIT_LINEAGE,raw value only; no browser label,MEDIUM,Strong breadth is a positive subset of positive breadth under current classifier and is not independent participation.
weak_ratio,Participation/Intensity,groupStrength.weakRatio,float 0..1; weak_member_change_pct classifier,counter-participation/weakness evidence,Strength evidence plus classifier lineage,CURRENT_SHADOW_EVIDENCE,REQUIRES_CLASSIFIER_AND_PIT_LINEAGE,raw counter-evidence only,LOW,Not the complement of positive breadth because flat and missing observations remain distinct.
average_change_pct,Intensity,groupStrength.averageChangePct,float percentage mean over valid observed members,primary group intensity evidence,Strength evidence,CURRENT_SHADOW_EVIDENCE,REQUIRES_PIT_MEMBER_AND_DAILY_OBSERVATION,raw value only; no level,LOW,Equal-weight mean; missing values are excluded rather than treated as zero.
leader_change_pct,Intensity,leadership.leaderChangePct,float percentage,asymmetric peak-intensity evidence only,Strength evidence with proxy caveat,CURRENT_SHADOW_EVIDENCE,REQUIRES_PIT_MEMBER_AND_ROLE_OR_PROXY_LINEAGE,show only as labelled proxy evidence, HIGH,Role-aware only if role semantics are supplied; otherwise maxObservedChange proxy.
leader_id,Intensity,leadership.leaderId,string member id,identity of observed maximum/role-aware member,provenance/context not Strength itself,CURRENT_SHADOW_EVIDENCE,REQUIRES_PIT_MEMBER_AND_PROXY_LINEAGE,do not label formal Leader, HIGH,Member identity is not a governed Leader Set membership fact.
leader_semantic_available,Intensity,leadership.leaderSemanticAvailable,boolean,controls interpretation of leader fields,quality/semantic metadata,CURRENT_SHADOW_EVIDENCE,REQUIRES_FORMAL_ROLE_AUTHORITY,disclose semantic availability, HIGH,False is the expected current state in the absence of approved role metadata.
positive_contribution_share,Intensity,leadership.positiveContributionShare,float or null,optional concentration/asymmetry context,Strength evidence but proxy-sensitive,CURRENT_SHADOW_EVIDENCE,REQUIRES_PIT_MEMBER_AND_PROXY_LINEAGE,not safe as headline strength, HIGH,Current engine derives leader change divided by positive absolute change; do not call concentration or leadership authority.
stage_trading_days,Persistence,persisted stageTradingDays,integer or null,context for state persistence,Persistence context not pure Strength,CURRENT_SHADOW_EVIDENCE,REQUIRES_STATEFUL_PIT_REPLAY,show as Lifecycle Day N only,LOW,Long stage age does not mean strong; MATURE or DECLINING can also have high age.
stage_entered_at,Persistence,persisted stageEnteredAt,date or null,anchor for stage age,quality/process metadata,Strength context,CURRENT_SHADOW_EVIDENCE,REQUIRES_STATEFUL_PIT_REPLAY,show only under Lifecycle,LOW,Does not establish duration of positive strength without a separate strength-history rule.
