review_id,decision,affected_topics,affected_instruments,proposed_default,why_manual_approval,evidence_state,research_version
PM-001,Accept supplied stock-overview `主要題材` as provisional CORE basis,ALL,719 PRIMARY relations,Use only for research; do not treat as approved CORE until PM confirms,The repository's canonical production relations are empty and the supplied PRIMARY field is an external master-data basis,research boundary,leader-set-research.v2
PM-002,Set the two 1.00 names in AI server ODM and resolve overlap with large-cap topic,AI伺服器整機／ODM; 大型電子權值,2382; 3231; 2317; 6669,2382 and 3231 at 1.00; others at 0.75,Two structural system ODM leaders are both top tier and the broad large-cap topic overlaps,strong external evidence; governance decision remains,leader-set-research.v2
PM-003,Decide whether 8299 belongs in memory module/channel or NAND/SSD/controller,記憶體模組／通路; NAND Flash／SSD,8299,Keep at 0.75 NEEDS_REVIEW until topic boundary is confirmed,Phison is a durable storage leader but its center of gravity is controller and storage integration,structural fit but topic-boundary conflict,leader-set-research.v2
PM-004,Decide whether diversified CCL issuers may remain supporting leaders,CCL,1303,0.50 NEEDS_REVIEW,CCL is explicit but the issuer's business mix is highly diversified,evidence present; materiality ambiguous,leader-set-research.v2
PM-005,Refresh current liquid-cooling evidence for 3017,液冷散熱; 散熱零組件,3017,Keep 1.00 broad thermal and 0.75 liquid-cooling proposal pending one current product/IR source,Current official source supports total thermal leadership but does not clearly separate liquid-cooling product scope,needs current liquid-specific source,leader-set-research.v2
PM-006,Allow cross-topic leader reuse where structural evidence supports both topics,AI PCB; Chiplet; ABF載板; 光通訊; 矽光子; 液冷散熱; 散熱零組件,3037; 3363; 2308; 3017; 3324,Allow only with topic-specific evidence and separate immutable weights,"The same issuer can represent different supply-chain layers, but reuse can double-count influence",governance design decision,leader-set-research.v2
PM-007,Split or retain the broad networking topic,網通,2345; 5388,Keep both as candidates; 2345 at 1.00 and 5388 at 0.75,Accton is data-center switching-led while Sercomm is broadband/enterprise/network infrastructure-led,strong evidence with topic-scope ambiguity,leader-set-research.v2
PM-008,Confirm foundry boundary versus mature-process and memory-process topics,晶圓代工; 成熟製程; 記憶體製程,2330; 5347,2330 at 1.00 and 5347 at 0.75 in foundry; retain separate topic-specific membership,Foundry is a business model while other topics are process/application-specific,strong evidence; hierarchy boundary decision,leader-set-research.v2
PM-009,Confirm whether two ASIC leaders may both receive 1.00,ASIC,3443; 3661; 3035,3443 and 3661 at 1.00; 3035 at 0.75,GUC and Alchip both have top-tier advanced ASIC evidence but represent different design-service emphases,strong evidence; top-tier multiplicity decision,leader-set-research.v2
PM-010,Refresh stale or group-level evidence before approval,AI電力基建; 高速傳輸; 機器人零組件; ABF載板,6282; 4966; 4576; 8046,Keep NEEDS_REVIEW and do not activate,"The current evidence is old, industry-registry based or group-level and does not meet final approval quality",needs source refresh,leader-set-research.v2
PM-011,Set the top-tier order for 一般封測,一般封測,3711; 2449; 6239; 8150,"3711 at 1.00; 2449, 6239 and 8150 at 0.75","ASE is a broad global OSAT anchor while KYEC, PTI and ChipMOS represent testing- or memory-heavy specializations",strong evidence; role-tier decision,leader-set-research.v2
PM-012,Confirm breadth and top tier for 先進封裝設備,先進封裝設備,3131; 3583; 6187; 6640,3131 at 1.00; others at 0.75,"The set spans wet-process, automation, die attach/molding and equipment integration layers",strong structural evidence; product-layer boundary remains,leader-set-research.v2
PM-013,Confirm MLCC leaders versus broader passive-component suppliers,MLCC,2327; 2492; 3026; 6173,2327 at 1.00 and 2492 at 0.75; research remaining PRIMARY names before expansion,Both researched issuers are diversified passive-component groups and the supplied topic has additional unresearched members,strong evidence for two names; universe incomplete,leader-set-research.v2
