topic_id,topic_slug,topic_name,instrument_code,instrument_name,proposed_importance_weight,proposed_status,structural_relevance,market_recognition,topic_sensitivity_participation,scale_influence,durability,rationale,evidence_types,evidence_summary,source_count,source_urls,source_publication_dates,confidence_level,ambiguity_notes,membership_review_needed,researched_at,leader_set_research_version
,12 吋矽晶圓,12 吋矽晶圓,3532,台勝科,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Formosa SUMCO Technology's exchange profile and official company disclosure identify 3532 as a silicon-wafer manufacturer with 8-inch production and a 12-inch wafer plant, directly matching the supplied topic.",official company product/IR; annual report or regulatory/industry source,"Formosa SUMCO Technology's exchange profile and official company disclosure identify 3532 as a silicon-wafer manufacturer with 8-inch production and a 12-inch wafer plant, directly matching the supplied topic.",3,https://wwwc.twse.com.tw/pdf/en/3532_en.pdf|https://www.fstech.com.tw/NAS/File.ashx?Id=57D4CE6A-A562-4D78-9048-4B0F4B5BACF3|https://www.sumcosi.com/english/csr/pdf/csr_rep24en.pdf,2025-06-13 exchange profile; 2023 annual report disclosure; 2024 SUMCO sustainability report,HIGH,The company is associated with SUMCO and has both 8-inch and 12-inch capacity; 0.75 avoids equating it with the broader global-leader tier without a current scale comparison.,false,2026-08-09,leader-set-research.v2
,12 吋矽晶圓,12 吋矽晶圓,6488,環球晶,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,GlobalWafers' official company and group profiles identify stock 6488 as a semiconductor ingot/wafer manufacturer with complete 3-to-12-inch silicon-wafer production capability and global scale.,official company product/IR; annual report or regulatory/industry source,GlobalWafers' official company and group profiles identify stock 6488 as a semiconductor ingot/wafer manufacturer with complete 3-to-12-inch silicon-wafer production capability and global scale.,3,https://www.sas-globalwafers.com/en/corporate-en/|https://www.sas-globalwafers.com/en/group-profile/|https://www.gw-semi.com/,current corporate governance/profile; current group profile; current wafer-technology site,HIGH,GlobalWafers is a broad wafer supplier across multiple diameters; 1.00 is specific to the supplied 12-inch membership and should not imply every product line has equal weight.,true,2026-08-09,leader-set-research.v2
,8 吋矽晶圓,8 吋矽晶圓,3532,台勝科,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Formosa SUMCO Technology's official/exchange profile identifies 8-inch silicon wafer as its primary production business, with a stated annual output and associated 12-inch plant investment.",official company product/IR; annual report or regulatory/industry source,"Formosa SUMCO Technology's official/exchange profile identifies 8-inch silicon wafer as its primary production business, with a stated annual output and associated 12-inch plant investment.",2,https://wwwc.twse.com.tw/pdf/en/3532_en.pdf|https://www.fstech.com.tw/NAS/File.ashx?Id=57D4CE6A-A562-4D78-9048-4B0F4B5BACF3,2025-06-13 exchange profile; 2023 annual report disclosure,HIGH,The exchange profile is a strong direct fit but older than a current annual report; retain 0.75 pending source refresh.,false,2026-08-09,leader-set-research.v2
,8 吋矽晶圓,8 吋矽晶圓,6488,環球晶,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"GlobalWafers' official profiles document a complete 3-to-12-inch silicon-wafer manufacturing chain, including 8-inch and epitaxial-wafer capability, supporting a top-tier 8-inch wafer role.",official company product/IR; annual report or regulatory/industry source,"GlobalWafers' official profiles document a complete 3-to-12-inch silicon-wafer manufacturing chain, including 8-inch and epitaxial-wafer capability, supporting a top-tier 8-inch wafer role.",3,https://www.sas-globalwafers.com/en/group-profile/|https://www.sas-globalwafers.com/en/innovation%C2%B7service-en/|https://www.gw-semi.com/,current group profile; current innovation/capability page; current wafer-technology site,HIGH,Cross-topic reuse with 12-inch wafers is based on explicit diameter coverage; PM should decide whether the hierarchy wants one multi-diameter leader or separate diameter-specific leaders.,false,2026-08-09,leader-set-research.v2
,ABF載板,ABF載板,3037,欣興,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Unimicron's official exchange profile and product portfolio identify IC substrates and advanced interconnect products as core capabilities, providing a strong ABF/substrate representative in the supplied PRIMARY pool.",official company product/IR; annual report or regulatory/industry source,"Unimicron's official exchange profile and product portfolio identify IC substrates and advanced interconnect products as core capabilities, providing a strong ABF/substrate representative in the supplied PRIMARY pool.",2,https://www.twse.com.tw/pdf/en/3037_en.pdf|https://unimicron.de/product-portfolio.html,2026-05-10 exchange profile; current product portfolio,HIGH,Confirm the exact ABF product boundary in the latest company disclosure; do not infer all PCB revenue is ABF.,false,2026-08-09,leader-set-research.v2
,ABF載板,ABF載板,3189,景碩,0.75,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Kinsus' official milestones, exchange profile and annual-report index identify advanced IC-substrate manufacturing and high-end package-substrate capabilities as long-running core activities.",official company product/IR; annual report or regulatory/industry source,"Kinsus' official milestones, exchange profile and annual-report index identify advanced IC-substrate manufacturing and high-end package-substrate capabilities as long-running core activities.",3,https://www.kinsus.com.tw/en-global/milestones|https://www.twse.com.tw/pdf/en/3189_en.pdf|https://www.kinsus.com.tw/en-global/Download/annual-general-meeting/Index/annual-report,current milestones page; 2026-04-17 exchange profile; current annual-report index,MEDIUM_HIGH,ABF-specific mix should be confirmed from the latest annual report; this row is below Unimicron pending that check.,false,2026-08-09,leader-set-research.v2
,ABF載板,ABF載板,8046,南電,0.75,NEEDS_REVIEW,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Nan Ya PCB's official annual-report material covers high-layer-count PCB, high-end communication substrates and advanced package-related capabilities, supporting an ABF/substrate role but with less direct ABF evidence than the leading candidates.",official company product/IR; annual report or regulatory/industry source,"Nan Ya PCB's official annual-report material covers high-layer-count PCB, high-end communication substrates and advanced package-related capabilities, supporting an ABF/substrate role but with less direct ABF evidence than the leading candidates.",2,https://www.nanyapcb.com.tw/nypcb/images/InvestorRelations/Report/113AnnualReportEN.pdf|https://www.nanyapcb.com.tw/nypcb/english/index.aspx,2024 annual report; current company site,MEDIUM,Refresh with the latest annual report and verify ABF revenue/product exposure before PM approval.,false,2026-08-09,leader-set-research.v2
,ADAS,ADAS,2367,燿華,1.00,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"A public issuance prospectus for Unitech states that automotive electronics demand is driving high-end PCB adoption and explicitly names ADAS, smart cockpit and connected-car applications; the company is a long-running automotive/high-density PCB supplier.",official company product/IR; annual report or regulatory/industry source,"A public issuance prospectus for Unitech states that automotive electronics demand is driving high-end PCB adoption and explicitly names ADAS, smart cockpit and connected-car applications; the company is a long-running automotive/high-density PCB supplier.",2,https://www.entrust.com.tw/upload/entrust/otherInfo/202207_2367_B04_20220801_084507.pdf|https://www.twse.com.tw/pdf/en/2367_en.pdf,2022 public issuance prospectus; current TWSE company profile,MEDIUM_HIGH,The strongest accessible ADAS evidence is a regulatory/public prospectus rather than a current product page; refresh the latest company annual report before approval.,false,2026-08-09,leader-set-research.v2
,ADAS,ADAS,3715,定穎投控,0.75,CANDIDATE,HIGH,MEDIUM_HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Dynamic Holding's public disclosure identifies automotive PCB as a major business and describes forward/side-imaging vehicle radar and cooperation with Tier-1 and chip companies, which is a durable ADAS-related structural role.",official company product/IR; annual report or regulatory/industry source,"Dynamic Holding's public disclosure identifies automotive PCB as a major business and describes forward/side-imaging vehicle radar and cooperation with Tier-1 and chip companies, which is a durable ADAS-related structural role.",3,https://www.dynaholding.com/file/2.pdf|https://based-cms.goodfinance.com/app/uploads/2026/01/%E5%AE%9A%E7%A9%8E%E6%8A%95%E6%8E%A7%E4%B8%80%E5%85%AC%E9%96%8B%E8%AA%AA%E6%98%8E%E6%9B%B8.pdf|https://www.twse.com.tw/pdf/en/3715_en.pdf,2023 annual report; 2026 public prospectus; current TWSE company profile,MEDIUM_HIGH,The company is a PCB group and the radar evidence includes subsidiary/project disclosure; PM should confirm whether this is sufficient for a 0.75 ADAS leader.,false,2026-08-09,leader-set-research.v2
,AI PCB,AI PCB,3037,欣興,1.00,CANDIDATE,HIGH,HIGH,NOT_USED_FOR_IDENTITY,HIGH,HIGH,"Unimicron is a dedicated PCB and substrate manufacturer with advanced HDI and high-speed interconnect capabilities, fitting AI-server and high-density PCB infrastructure structurally.",official company product/IR; annual report or regulatory/industry source,"Unimicron is a dedicated PCB and substrate manufacturer with advanced HDI and high-speed interconnect capabilities, fitting AI-server and high-density PCB infrastructure structurally.",2,https://www.twse.com.tw/pdf/en/3037_en.pdf|https://unimicron.de/product-portfolio.html,2026-05-10 exchange profile; undated product portfolio,HIGH,The supplied topic spans PCB and substrate; retain only if PM accepts both as one governed topic.,false,2026-08-09,leader-set-research.v2
