feature_id,layer,definition,source_class,row_count,available_count,coverage,as_of_safe,historical_semantics,status,decision,note,research_authority
topic.lifecycle,TOPIC,Lifecycle stage from L5 retrospective reconstruction,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2472,0.850653819683,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,C2_CANDIDATE,Not PIT formal history,EVIDENCE_ONLY
topic.positive_breadth,TOPIC,Positive breadth at as_of,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2809,0.966620784584,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,C2_CANDIDATE,Existing WS1/L5 raw evidence,EVIDENCE_ONLY
topic.strong_breadth,TOPIC,Strong breadth at as_of,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2809,0.966620784584,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,C2_CANDIDATE,Existing WS1/L5 raw evidence,EVIDENCE_ONLY
topic.weak_ratio,TOPIC,Weak ratio at as_of,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2809,0.966620784584,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,DEFER_PENDING_ROBUSTNESS,Existing WS1/L5 raw evidence,EVIDENCE_ONLY
topic.average_change_pct,TOPIC,Average topic member change at as_of,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2809,0.966620784584,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,C2_CANDIDATE,Existing WS1/L5 raw evidence,EVIDENCE_ONLY
topic.daily_grade,TOPIC,Formal Daily Grade at as_of,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,0,0,UNKNOWN,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,INSUFFICIENT,DEFER,No PIT Grade history is committed on canonical main,EVIDENCE_ONLY
stock.ma60_state,TECHNICAL,Close relative to existing MA60 research input,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2906,1,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,C2_CANDIDATE,Existing A2 panel; descriptive only,EVIDENCE_ONLY
stock.distance_from_ma60,TECHNICAL,A2 distance from MA60,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2906,1,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,DEFER_PENDING_ROBUSTNESS,"Research feature, not formal publication",EVIDENCE_ONLY
stock.gap_up,TECHNICAL,A2 gap-up flag,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2906,1,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,DEFER_PENDING_ROBUSTNESS,Not used for group selection in C1,EVIDENCE_ONLY
market.regime,MARKET,Versioned PIT market regime,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,0,0,UNKNOWN,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,INSUFFICIENT,DEFER,Canonical report records no PIT-safe regime source,EVIDENCE_ONLY
institutional.flow,FLOW,Historical foreign/trust/dealer flow,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,0,0,UNKNOWN,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,INSUFFICIENT,DEFER,Historical lineage/source is unavailable,EVIDENCE_ONLY
structural_role.leader,AUTHORITY,Date-valid owner-curated Structural Role/Leader,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,0,0,UNKNOWN,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,UNKNOWN,DEFER,Research mapping role is not formal Structural Role/Leader,EVIDENCE_ONLY
mapping.current_taxonomy,LINEAGE,Current taxonomy exposure mapping,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,2906,1,YES,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,AVAILABLE,USE_WITH_LIMITATION,Not PIT truth; never promoted to formal history,EVIDENCE_ONLY
outcome.market_relative_return,OUTCOME,Forward return relative to market benchmark,HISTORICAL_RECONSTRUCTED_RESEARCH,2906,0,0,UNKNOWN,RESEARCH_ONLY_CURRENT_TAXONOMY_RECONSTRUCTION,INSUFFICIENT,DEFER,No committed PIT-safe market series,EVIDENCE_ONLY
